path,kind,shape,dtype,sequence,category
channel_data,GROUP,,,,other
channel_data/N_active_elements,DATASET,"(1, 1)",float32,,other
channel_data/author,GROUP,,,,other
channel_data/author/author_0001,DATASET,"(48, 1)",float32,,other
channel_data/author/author_0002,DATASET,"(42, 1)",float32,,other
channel_data/data,DATASET,"(256, 128, 3474)",float32,,other
channel_data/initial_time,DATASET,"(1, 1)",float32,,other
channel_data/modulation_frequency,DATASET,"(1, 1)",float32,,other
channel_data/name,GROUP,,,,other
channel_data/name/name_0001,DATASET,"(149, 1)",float32,,other
channel_data/probe,GROUP,,,,probe
channel_data/probe/N,DATASET,"(1, 1)",float32,,probe
channel_data/probe/element_height,DATASET,"(1, 1)",float32,,probe
channel_data/probe/element_width,DATASET,"(1, 1)",float32,,probe
channel_data/probe/geometry,DATASET,"(7, 128)",float32,,probe
channel_data/probe/pitch,DATASET,"(1, 1)",float32,,probe
channel_data/pulse,GROUP,,,,other
channel_data/pulse/center_frequency,DATASET,"(1, 1)",float32,,other
channel_data/pulse/fractional_bandwidth,DATASET,"(1, 1)",float32,,other
channel_data/pulse/phase,DATASET,"(1, 1)",float32,,other
channel_data/reference,GROUP,,,,other
channel_data/reference/reference_0001,DATASET,"(25, 1)",float32,,other
channel_data/sampling_frequency,DATASET,"(1, 1)",float32,,other
channel_data/sequence,GROUP,,,,other
channel_data/sequence/sequence_0001,GROUP,,,sequence_0001,other
channel_data/sequence/sequence_0001/apodization,GROUP,,,sequence_0001,apodization
channel_data/sequence/sequence_0001/apodization/apex,GROUP,,,sequence_0001,apodization/apex
channel_data/sequence/sequence_0001/apodization/apex/azimuth,DATASET,"(1, 1)",float32,sequence_0001,apodization/apex
channel_data/sequence/sequence_0001/apodization/apex/distance,DATASET,"(1, 1)",float32,sequence_0001,apodization/apex
channel_data/sequence/sequence_0001/apodization/apex/elevation,DATASET,"(1, 1)",float32,sequence_0001,apodization/apex
channel_data/sequence/sequence_0001/apodization/f_number,DATASET,"(2, 1)",float32,sequence_0001,apodization
channel_data/sequence/sequence_0001/apodization/scan,GROUP,,,sequence_0001,apodization/scan
channel_data/sequence/sequence_0001/apodization/scan/x,DATASET,"(1, 1)",float32,sequence_0001,apodization/scan
channel_data/sequence/sequence_0001/apodization/scan/y,DATASET,"(1, 1)",float32,sequence_0001,apodization/scan
channel_data/sequence/sequence_0001/apodization/scan/z,DATASET,"(1, 1)",float32,sequence_0001,apodization/scan
channel_data/sequence/sequence_0001/apodization/tilt,DATASET,"(2, 1)",float32,sequence_0001,apodization
channel_data/sequence/sequence_0001/apodization/window,DATASET,"(1, 1)",float32,sequence_0001,apodization
channel_data/sequence/sequence_0001/probe,GROUP,,,sequence_0001,probe
channel_data/sequence/sequence_0001/probe/N,DATASET,"(1, 1)",float32,sequence_0001,probe
channel_data/sequence/sequence_0001/probe/element_height,DATASET,"(1, 1)",float32,sequence_0001,probe
channel_data/sequence/sequence_0001/probe/element_width,DATASET,"(1, 1)",float32,sequence_0001,probe
