group_path,dataset_path,shape,dtype,sequence,category,summary
channel_data/probe,channel_data/probe/element_height,"(1, 1)",float32,,probe,values=[0.003000000026077032]
channel_data/probe,channel_data/probe/element_width,"(1, 1)",float32,,probe,values=[0.00023999999393709004]
channel_data/probe,channel_data/probe/geometry,"(7, 128)",float32,,probe,"min=-0.019050000235438347, max=0.019050000235438347, mean=0.0004628571623470634"
channel_data/probe,channel_data/probe/pitch,"(1, 1)",float32,,probe,values=[0.0003000000142492354]
channel_data/sequence/sequence_0001/apodization/apex,channel_data/sequence/sequence_0001/apodization/apex/azimuth,"(1, 1)",float32,sequence_0001,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0001/apodization/apex,channel_data/sequence/sequence_0001/apodization/apex/distance,"(1, 1)",float32,sequence_0001,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0001/apodization/apex,channel_data/sequence/sequence_0001/apodization/apex/elevation,"(1, 1)",float32,sequence_0001,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0001/apodization/scan,channel_data/sequence/sequence_0001/apodization/scan/x,"(1, 1)",float32,sequence_0001,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0001/apodization/scan,channel_data/sequence/sequence_0001/apodization/scan/y,"(1, 1)",float32,sequence_0001,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0001/apodization/scan,channel_data/sequence/sequence_0001/apodization/scan/z,"(1, 1)",float32,sequence_0001,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0001/probe,channel_data/sequence/sequence_0001/probe/element_height,"(1, 1)",float32,sequence_0001,probe,values=[0.003000000026077032]
channel_data/sequence/sequence_0001/probe,channel_data/sequence/sequence_0001/probe/element_width,"(1, 1)",float32,sequence_0001,probe,values=[0.00023999999393709004]
channel_data/sequence/sequence_0001/probe,channel_data/sequence/sequence_0001/probe/geometry,"(7, 128)",float32,sequence_0001,probe,"min=-0.019050000235438347, max=0.019050000235438347, mean=0.0004628571623470634"
channel_data/sequence/sequence_0001/probe,channel_data/sequence/sequence_0001/probe/pitch,"(1, 1)",float32,sequence_0001,probe,values=[0.0003000000142492354]
channel_data/sequence/sequence_0001/source,channel_data/sequence/sequence_0001/source/azimuth,"(1, 1)",float32,sequence_0001,source,values=[-0.5693131685256958]
channel_data/sequence/sequence_0001/source,channel_data/sequence/sequence_0001/source/distance,"(1, 1)",float32,sequence_0001,source,values=[0.035617973655462265]
channel_data/sequence/sequence_0001/source,channel_data/sequence/sequence_0001/source/elevation,"(1, 1)",float32,sequence_0001,source,values=[0.0]
channel_data/sequence/sequence_0002/apodization/apex,channel_data/sequence/sequence_0002/apodization/apex/azimuth,"(1, 1)",float32,sequence_0002,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0002/apodization/apex,channel_data/sequence/sequence_0002/apodization/apex/distance,"(1, 1)",float32,sequence_0002,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0002/apodization/apex,channel_data/sequence/sequence_0002/apodization/apex/elevation,"(1, 1)",float32,sequence_0002,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0002/apodization/scan,channel_data/sequence/sequence_0002/apodization/scan/x,"(1, 1)",float32,sequence_0002,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0002/apodization/scan,channel_data/sequence/sequence_0002/apodization/scan/y,"(1, 1)",float32,sequence_0002,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0002/apodization/scan,channel_data/sequence/sequence_0002/apodization/scan/z,"(1, 1)",float32,sequence_0002,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0002/probe,channel_data/sequence/sequence_0002/probe/element_height,"(1, 1)",float32,sequence_0002,probe,values=[0.003000000026077032]
channel_data/sequence/sequence_0002/probe,channel_data/sequence/sequence_0002/probe/element_width,"(1, 1)",float32,sequence_0002,probe,values=[0.00023999999393709004]
channel_data/sequence/sequence_0002/probe,channel_data/sequence/sequence_0002/probe/geometry,"(7, 128)",float32,sequence_0002,probe,"min=-0.019050000235438347, max=0.019050000235438347, mean=0.0004628571623470634"
channel_data/sequence/sequence_0002/probe,channel_data/sequence/sequence_0002/probe/pitch,"(1, 1)",float32,sequence_0002,probe,values=[0.0003000000142492354]
channel_data/sequence/sequence_0002/source,channel_data/sequence/sequence_0002/source/azimuth,"(1, 1)",float32,sequence_0002,source,values=[-0.5657580494880676]
channel_data/sequence/sequence_0002/source,channel_data/sequence/sequence_0002/source/distance,"(1, 1)",float32,sequence_0002,source,values=[0.03553733974695206]
channel_data/sequence/sequence_0002/source,channel_data/sequence/sequence_0002/source/elevation,"(1, 1)",float32,sequence_0002,source,values=[0.0]
channel_data/sequence/sequence_0003/apodization/apex,channel_data/sequence/sequence_0003/apodization/apex/azimuth,"(1, 1)",float32,sequence_0003,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0003/apodization/apex,channel_data/sequence/sequence_0003/apodization/apex/distance,"(1, 1)",float32,sequence_0003,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0003/apodization/apex,channel_data/sequence/sequence_0003/apodization/apex/elevation,"(1, 1)",float32,sequence_0003,apodization/apex,values=[0.0]
channel_data/sequence/sequence_0003/apodization/scan,channel_data/sequence/sequence_0003/apodization/scan/x,"(1, 1)",float32,sequence_0003,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0003/apodization/scan,channel_data/sequence/sequence_0003/apodization/scan/y,"(1, 1)",float32,sequence_0003,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0003/apodization/scan,channel_data/sequence/sequence_0003/apodization/scan/z,"(1, 1)",float32,sequence_0003,apodization/scan,values=[0.0]
channel_data/sequence/sequence_0003/probe,channel_data/sequence/sequence_0003/probe/element_height,"(1, 1)",float32,sequence_0003,probe,values=[0.003000000026077032]
channel_data/sequence/sequence_0003/probe,channel_data/sequence/sequence_0003/probe/element_width,"(1, 1)",float32,sequence_0003,probe,values=[0.00023999999393709004]
channel_data/sequence/sequence_0003/probe,channel_data/sequence/sequence_0003/probe/geometry,"(7, 128)",float32,sequence_0003,probe,"min=-0.019050000235438347, max=0.019050000235438347, mean=0.0004628571623470634"
channel_data/sequence/sequence_0003/probe,channel_data/sequence/sequence_0003/probe/pitch,"(1, 1)",float32,sequence_0003,probe,values=[0.0003000000142492354]
channel_data/sequence/sequence_0003/source,channel_data/sequence/sequence_0003/source/azimuth,"(1, 1)",float32,sequence_0003,source,values=[-0.5621867179870605]
channel_data/sequence/sequence_0003/source,channel_data/sequence/sequence_0003/source/distance,"(1, 1)",float32,sequence_0003,source,values=[0.03545715659856796]
channel_data/sequence/sequence_0003/source,channel_data/sequence/sequence_0003/source/elevation,"(1, 1)",float32,sequence_0003,source,values=[0.0]
