Image,Type,PSNR_Full,SSIM_Full,PSNR_Tumor,SSIM_Tumor,PSNR_Background,SSIM_Background,Time,Method
benign_1,benign,17.888878800855938,0.3055542266814833,10.570245143118406,0.9955439874058556,17.958390149176747,0.3162809025156328,35.35473370552063,Adaptive-HASA
benign_1,benign,19.401538445172246,0.3569928392512782,8.439374368997713,0.06266550961693551,19.59357462021954,0.3569928392512782,12.165167808532715,Static-HASA
benign_1,benign,18.069086824667224,0.3007615407422898,9.586036292095294,0.9950667441872127,18.16513009007465,0.3121693787345037,1.3717997074127195,TV-only
benign_1,benign,12.77172830224654,0.0975781510189565,13.959447878135279,0.25816381765640106,12.76781473088382,0.0975781510189565,11.28424620628357,Wavelet-only
benign_10,benign,17.654584821550394,0.300981352832153,17.356752088271037,0.918219086534472,17.682446108146777,0.3747704917713033,34.48944044113159,Adaptive-HASA
benign_10,benign,19.04670359593033,0.3594758521855155,19.381473942108837,0.31890926045814827,19.017832950927744,0.3594758521855155,12.333585500717163,Static-HASA
benign_10,benign,15.589455707545138,0.2194704627888061,11.94791036715872,0.9065208494614972,16.13611649354524,0.3156286770270024,1.0555317401885986,TV-only
benign_10,benign,15.678913532923954,0.1969278414897696,17.638024195233,0.1617425918767583,15.539414639991838,0.1969278414897696,11.303664922714233,Wavelet-only
benign_11,benign,17.719518331482178,0.2708047418463622,10.521596715220626,0.9917135852108704,17.810946256826515,0.2826990501932636,34.9948844909668,Adaptive-HASA
benign_11,benign,19.144684026249127,0.3117930364658107,9.25002653791465,0.08640671569297052,19.334884390350627,0.3117930364658107,12.976390600204468,Static-HASA
benign_11,benign,17.301656991067166,0.2204789733077517,8.282698905819728,0.9904825118501464,17.45296310226357,0.2345604284585453,1.300649881362915,TV-only
benign_11,benign,13.226878707685135,0.11285006715278557,14.174229149841002,0.34846895563633723,13.222717440233463,0.11285006715278557,11.437585592269897,Wavelet-only
benign_12,benign,18.475771248654127,0.2427431937199246,12.95982920138539,0.9929988759111084,18.56073307284865,0.2575475549484208,35.206514835357666,Adaptive-HASA
benign_12,benign,18.782376417172056,0.31208491861825144,11.642386071167792,0.15916357039404816,18.92351663186314,0.31208491861825144,12.96785044670105,Static-HASA
benign_12,benign,17.47878758700546,0.2100433538423264,13.55941962121448,0.9933870282200196,17.527204833730043,0.2248329170287267,1.4023046493530271,TV-only
benign_12,benign,17.245633017536257,0.239000655415389,17.917729877887314,0.499088629841683,17.240867783906545,0.239000655415389,11.473276615142822,Wavelet-only
benign_13,benign,19.912460927873987,0.4314198719091479,19.812064938128625,0.910706993541894,19.92839242064005,0.5215013160661786,34.8849778175354,Adaptive-HASA
benign_13,benign,20.195396185779355,0.44294166489994163,19.481831786857082,0.3658534696684881,20.318813331905446,0.44294166489994163,12.677497148513794,Static-HASA
benign_13,benign,16.282342148217282,0.3054233895404494,13.913815068022917,0.8725793464747676,16.805820843050046,0.4420348887879985,1.546703577041626,TV-only
benign_13,benign,19.310017454109616,0.27791795053743457,19.726859313287,0.2735281755149601,19.248099611327024,0.27791795053743457,11.316410541534424,Wavelet-only
benign_14,benign,18.77208219742844,0.2352393089296519,13.836889012354106,0.9844333247977493,18.88123390559539,0.2509007647407599,34.74942374229431,Adaptive-HASA
benign_14,benign,18.569501629707553,0.3006352475775832,13.678838593696813,0.09115637620140149,18.67858731642941,0.3006352475775832,12.87571406364441,Static-HASA
benign_14,benign,17.886615452250474,0.2036363977083056,13.952061035968391,0.9838437191318308,17.962396105717712,0.2187672988789165,1.7583949565887451,TV-only
benign_14,benign,17.98485571550546,0.27396371043729095,15.683648937931903,0.19782173002824988,18.021131036926132,0.27396371043729095,12.658427000045776,Wavelet-only
benign_15,benign,19.629449629185075,0.332065019583289,12.33958124195382,0.985602388254879,19.793263091738773,0.3475465070244946,34.73592519760132,Adaptive-HASA
benign_15,benign,20.218004388628017,0.3945350064247038,10.961774304985948,0.06909352162858895,20.497240314492643,0.3945350064247038,12.913166284561157,Static-HASA
